timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,label,entry,summary,suspicious,risk_type,severity,action.1,next_prediction
2025-09-27T10:00:00Z,10.0.0.30,198.51.100.200,40000,80,TCP,ALLOW,8192,201,eth1,normal,"['2025-09-27T10:01:00Z', '2025-09-27T10:03:00Z', '2025-09-27T10:05:00Z', '2025-09-27T10:08:00Z']",IP 203.0.113.55 thực hiện nhiều lần cố gắng truy cập SSH (port 22) và RDP (port 3389) vào máy chủ nội bộ 10.0.0.30 nhưng bị chặn. Đây là dấu hiệu của cuộc tấn công brute force hoặc reconnaissance.,Có,Privilege Escalation / Brute Force,Medium,"Giữ theo dõi, điều tra nguồn IP, cân nhắc chặn",Có thể tiếp tục thử các port khác hoặc chuyển sang tấn công từ xa
2025-09-27T10:01:00Z,203.0.113.55,10.0.0.30,33333,22,TCP,DENY,0,101,eth0,suspicious,['2025-09-27T10:07:00Z'],Máy chủ nội bộ 10.0.0.30 gửi một lượng dữ liệu lớn (104 857 600 bytes ~100 MB) tới IP 198.51.100.202 qua HTTPS. Đây là dấu hiệu của exfiltration dữ liệu hoặc tải malware.,Có,Data Exfiltration / Malware Delivery,High,"Chặn ngay lưu lượng outbound tới 198.51.100.202, điều tra nội dung, cách ly máy chủ",Có thể tiếp tục truyền dữ liệu hoặc tải thêm payload
2025-09-27T10:02:00Z,10.0.0.30,198.51.100.200,40001,443,TCP,ALLOW,16384,201,eth1,normal,,,,,,,
2025-09-27T10:03:00Z,203.0.113.55,10.0.0.30,33334,22,TCP,DENY,0,101,eth0,suspicious,,,,,,,
2025-09-27T10:04:00Z,10.0.0.30,8.8.8.8,54321,53,UDP,ALLOW,64,210,eth1,normal,,,,,,,
2025-09-27T10:05:00Z,203.0.113.55,10.0.0.30,33335,3389,TCP,DENY,0,102,eth0,suspicious,,,,,,,
2025-09-27T10:06:00Z,10.0.0.30,198.51.100.201,40002,80,TCP,ALLOW,4096,201,eth1,normal,,,,,,,
2025-09-27T10:07:00Z,10.0.0.30,198.51.100.202,104857600,443,TCP,ALLOW,104857600,201,eth1,suspicious,,,,,,,
2025-09-27T10:08:00Z,203.0.113.55,10.0.0.30,33336,22,TCP,DENY,0,101,eth0,suspicious,,,,,,,
2025-09-27T10:09:00Z,10.0.0.30,192.0.2.20,40003,443,TCP,ALLOW,1024,201,eth1,normal,,,,,,,
