timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,category,severity,description,entry,summary,suspicious,risk_type,severity.1,action.1,next_prediction
2025-09-27T11:00:00Z,10.0.0.50,10.0.0.51,2222,22,TCP,ALLOW,128,301,br0,remote_admin,low,Internal SSH connection for admin purposes.,"['2025-09-27T11:01:00Z', '2025-09-27T11:03:00Z', '2025-09-27T11:05:00Z', '2025-09-27T11:08:00Z']","Địa chỉ IP bên ngoài 198.51.100.45 liên tục cố gắng truy cập trái phép vào máy chủ nội bộ 10.0.0.50 qua nhiều dịch vụ khác nhau như MySQL (cổng 3306), SSH (cổng 22) và RDP (cổng 3389). Tất cả các nỗ lực này đều bị tường lửa từ chối. Các hành vi này cho thấy một cuộc tấn công do thám và vét cạn đang diễn ra.",Có,"Do thám (Reconnaissance), Tấn công vét cạn (Brute Force Attack), Tấn công từ chối dịch vụ (nếu số lượng yêu cầu tăng đột biến).",Cao,Lập tức chặn IP nguồn 198.51.100.45 tại tường lửa. Kiểm tra các log khác để tìm kiếm bất kỳ kết nối nào thành công từ IP này hoặc các IP liên quan. Cảnh báo đội ngũ an ninh.,"Kẻ tấn công có thể sẽ thay đổi IP nguồn để tiếp tục tấn công, hoặc chuyển sang các phương pháp tấn công khác nếu không thể vượt qua tường lửa."
2025-09-27T11:01:00Z,198.51.100.45,10.0.0.50,60000,3306,TCP,DENY,0,103,eth0,db_recon,high,External attempt to access MySQL database.,['2025-09-27T11:06:00Z'],"Một kết nối SMB nội bộ từ 10.0.0.51 đến 10.0.0.50 đã được cho phép, nhưng được phân loại là 'lateral_movement' (di chuyển ngang) với mức độ nghiêm trọng trung bình. Điều này có thể là hoạt động quản trị hợp pháp nhưng cũng có thể là dấu hiệu của việc kẻ tấn công đang di chuyển trong mạng nội bộ sau khi đã xâm nhập.",Có,"Di chuyển ngang (Lateral Movement), Có thể là bước tiếp theo của một cuộc tấn công đã xâm nhập.",Trung bình,"Cần kiểm tra chi tiết hoạt động trên 10.0.0.51 và 10.0.0.50 vào thời điểm này. Xác minh xem đây có phải là hoạt động quản trị hợp pháp hay không. Nếu không, cần điều tra sâu hơn.","Nếu là tấn công, kẻ tấn công có thể đang cố gắng thu thập thông tin hoặc leo thang đặc quyền trên 10.0.0.50 hoặc các hệ thống khác trong mạng."
2025-09-27T11:02:00Z,10.0.0.50,8.8.8.8,54321,53,UDP,ALLOW,64,210,eth1,normal,low,Standard DNS query.,['2025-09-27T11:09:00Z'],"Máy chủ nội bộ 10.0.0.50 đã thực hiện một lượng lớn truyền dữ liệu (1MB) ra bên ngoài đến IP 192.0.2.30 qua HTTPS, được phân loại rõ ràng là 'data_exfiltration' (rò rỉ dữ liệu) với mức độ nghiêm trọng cao. Đây là một dấu hiệu mạnh mẽ của việc dữ liệu nhạy cảm bị đánh cắp.",Có,"Rò rỉ dữ liệu (Data Exfiltration), Thỏa hiệp hệ thống (System Compromise).",Cao,"Lập tức cô lập máy chủ 10.0.0.50 khỏi mạng để ngăn chặn rò rỉ thêm dữ liệu. Chặn tất cả lưu lượng đi đến 192.0.2.30. Bắt đầu điều tra pháp y trên 10.0.0.50 để xác định nguyên nhân, phạm vi rò rỉ dữ liệu và cách thức hệ thống bị xâm nhập.","Nếu thành công, kẻ tấn công có thể tiếp tục đánh cắp thêm dữ liệu hoặc sử dụng hệ thống bị xâm nhập để thực hiện các cuộc tấn công khác, chẳng hạn như phát tán mã độc hoặc tấn công các hệ thống khác trong mạng."
2025-09-27T11:03:00Z,198.51.100.45,10.0.0.50,60001,3306,TCP,DENY,0,103,eth0,db_recon,high,Repeated denied MySQL access attempt.,,,,,,,
2025-09-27T11:04:00Z,10.0.0.50,198.51.100.150,443,52345,TCP,ALLOW,1024,201,eth1,normal,low,Outbound HTTPS traffic.,,,,,,,
2025-09-27T11:05:00Z,198.51.100.45,10.0.0.50,60002,22,TCP,DENY,0,101,eth0,brute_force,medium,Suspicious SSH attempt from external IP.,,,,,,,
2025-09-27T11:06:00Z,10.0.0.51,10.0.0.50,2223,445,TCP,ALLOW,512,301,br0,lateral_movement,medium,Internal SMB transfer.,,,,,,,
2025-09-27T11:07:00Z,10.0.0.50,198.51.100.151,80,52346,TCP,ALLOW,2048,201,eth1,normal,low,HTTP request to external site.,,,,,,,
2025-09-27T11:08:00Z,198.51.100.45,10.0.0.50,60003,3389,TCP,DENY,0,102,eth0,external_recon,medium,Denied RDP attempt.,,,,,,,
2025-09-27T11:09:00Z,10.0.0.50,192.0.2.30,443,52347,TCP,ALLOW,1048576,201,eth1,data_exfiltration,high,Large outbound data transfer over HTTPS.,,,,,,,
