timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,category,severity,description,entry,summary,suspicious,risk_type,severity.1,action.1,next_prediction
2025-09-27T11:00:00Z,10.0.0.50,10.0.0.51,2222,22,TCP,ALLOW,128,301,br0,remote_admin,low,Internal SSH connection for admin purposes.,"['2025-09-27T11:01:00Z', '2025-09-27T11:03:00Z', '2025-09-27T11:05:00Z', '2025-09-27T11:08:00Z']","Địa chỉ IP bên ngoài 198.51.100.45 đã thực hiện nhiều lần thử kết nối bị từ chối vào các cổng dịch vụ quan trọng (3306/MySQL, 22/SSH, 3389/RDP) của máy chủ nội bộ 10.0.0.50",Có,Quét và thăm dò dịch vụ (Service Scanning/Reconnaissance) và có thể là tấn công brute force,Cao,Chặn IP 198.51.100.45 và điều tra thêm,Kẻ tấn công có thể sẽ tiếp tục thử các phương pháp khác hoặc chuyển sang mục tiêu khác trong mạng
2025-09-27T11:01:00Z,198.51.100.45,10.0.0.50,60000,3306,TCP,DENY,0,103,eth0,db_recon,high,External attempt to access MySQL database.,['2025-09-27T11:09:00Z'],"Máy chủ nội bộ 10.0.0.50 đã thực hiện kết nối HTTPS outbound (1MB) đến địa chỉ bên ngoài 192.0.2.30, được hệ thống phân loại là data exfiltration",Có,Rò rỉ dữ liệu (Data Exfiltration),Cao,Cần điều tra ngay lập tức: kiểm tra tiến trình nào đang chạy trên 10.0.0.50 và xác định dữ liệu nào đang được gửi đi,Có thể tiếp tục có các kết nối outbound lớn khác hoặc các hành động độc hại khác từ máy này
2025-09-27T11:02:00Z,10.0.0.50,8.8.8.8,54321,53,UDP,ALLOW,64,210,eth1,normal,low,Standard DNS query.,['2025-09-27T11:06:00Z'],"Kết nối SMB nội bộ từ 10.0.0.51 đến 10.0.0.50 trên cổng 445, được phân loại là lateral movement",Có,Di chuyển ngang trong mạng (Lateral Movement),Trung bình,Cần kiểm tra và giám sát,Có thể có thêm các kết nối truy cập file hoặc remote execution giữa các máy trong mạng nội bộ
2025-09-27T11:03:00Z,198.51.100.45,10.0.0.50,60001,3306,TCP,DENY,0,103,eth0,db_recon,high,Repeated denied MySQL access attempt.,"['2025-09-27T11:00:00Z', '2025-09-27T11:02:00Z', '2025-09-27T11:04:00Z', '2025-09-27T11:07:00Z']","Các kết nối mạng bình thường: SSH nội bộ, DNS query, HTTPS và HTTP outbound",Không,Hoạt động mạng thông thường,Thấp,Tiếp tục giám sát,Tiếp tục các hoạt động mạng bình thường
2025-09-27T11:04:00Z,10.0.0.50,198.51.100.150,443,52345,TCP,ALLOW,1024,201,eth1,normal,low,Outbound HTTPS traffic.,,,,,,,
2025-09-27T11:05:00Z,198.51.100.45,10.0.0.50,60002,22,TCP,DENY,0,101,eth0,brute_force,medium,Suspicious SSH attempt from external IP.,,,,,,,
2025-09-27T11:06:00Z,10.0.0.51,10.0.0.50,2223,445,TCP,ALLOW,512,301,br0,lateral_movement,medium,Internal SMB transfer.,,,,,,,
2025-09-27T11:07:00Z,10.0.0.50,198.51.100.151,80,52346,TCP,ALLOW,2048,201,eth1,normal,low,HTTP request to external site.,,,,,,,
2025-09-27T11:08:00Z,198.51.100.45,10.0.0.50,60003,3389,TCP,DENY,0,102,eth0,external_recon,medium,Denied RDP attempt.,,,,,,,
2025-09-27T11:09:00Z,10.0.0.50,192.0.2.30,443,52347,TCP,ALLOW,1048576,201,eth1,data_exfiltration,high,Large outbound data transfer over HTTPS.,,,,,,,
