timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,category,severity,description,entry,summary,suspicious,risk_type,severity.1,action.1,next_prediction
2025-09-27T11:00:00Z,10.0.0.50,10.0.0.51,2222,22,TCP,ALLOW,128,301,br0,remote_admin,low,Internal SSH connection for admin purposes.,"['2025-09-27T11:01:00Z', '2025-09-27T11:03:00Z', '2025-09-27T11:05:00Z', '2025-09-27T11:08:00Z']","IP 198.51.100.45 liên tục cố gắng truy cập cơ sở dữ liệu MySQL (port 3306) và các dịch vụ khác như SSH (port 22), RDP (port 3389) nhưng bị từ chối.",Có,Khai thác thông tin (Reconnaissance) và tấn công brute force,Cao,Cần kiểm tra,Đối tượng có thể đang tìm kiếm lỗ hổng hoặc điểm yếu trong hệ thống để tiếp tục tấn công.
2025-09-27T11:01:00Z,198.51.100.45,10.0.0.50,60000,3306,TCP,DENY,0,103,eth0,db_recon,high,External attempt to access MySQL database.,['2025-09-27T11:09:00Z'],Có lượng dữ liệu lớn (1MB) được truyền ra ngoài qua HTTPS đến địa chỉ 192.0.2.30.,Có,Rò rỉ dữ liệu (Data Exfiltration),Cao,Khắc phục ngay lập tức,Đối tượng có thể đang cố gắng truyền dữ liệu nhạy cảm hoặc thực hiện các hành động tiếp theo như mã hóa dữ liệu để tránh phát hiện.
2025-09-27T11:02:00Z,10.0.0.50,8.8.8.8,54321,53,UDP,ALLOW,64,210,eth1,normal,low,Standard DNS query.,['2025-09-27T11:06:00Z'],Có chuyển dữ liệu qua SMB (port 445) giữa các thiết bị nội bộ (10.0.0.51 → 10.0.0.50).,Có,Di chuyển ngang (Lateral Movement),Trung bình,Giữ nguyên theo dõi,Đối tượng có thể đang cố gắng mở rộng quyền truy cập trong mạng nội bộ.
2025-09-27T11:03:00Z,198.51.100.45,10.0.0.50,60001,3306,TCP,DENY,0,103,eth0,db_recon,high,Repeated denied MySQL access attempt.,,,,,,,
2025-09-27T11:04:00Z,10.0.0.50,198.51.100.150,443,52345,TCP,ALLOW,1024,201,eth1,normal,low,Outbound HTTPS traffic.,,,,,,,
2025-09-27T11:05:00Z,198.51.100.45,10.0.0.50,60002,22,TCP,DENY,0,101,eth0,brute_force,medium,Suspicious SSH attempt from external IP.,,,,,,,
2025-09-27T11:06:00Z,10.0.0.51,10.0.0.50,2223,445,TCP,ALLOW,512,301,br0,lateral_movement,medium,Internal SMB transfer.,,,,,,,
2025-09-27T11:07:00Z,10.0.0.50,198.51.100.151,80,52346,TCP,ALLOW,2048,201,eth1,normal,low,HTTP request to external site.,,,,,,,
2025-09-27T11:08:00Z,198.51.100.45,10.0.0.50,60003,3389,TCP,DENY,0,102,eth0,external_recon,medium,Denied RDP attempt.,,,,,,,
2025-09-27T11:09:00Z,10.0.0.50,192.0.2.30,443,52347,TCP,ALLOW,1048576,201,eth1,data_exfiltration,high,Large outbound data transfer over HTTPS.,,,,,,,
