timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,category,severity,description,entry,summary,suspicious,risk_type,severity.1,action.1,next_prediction
2025-09-27T11:00:00Z,10.0.0.50,10.0.0.51,2222,22,TCP,ALLOW,128,301,br0,remote_admin,low,Internal SSH connection for admin purposes.,"['2025-09-27T11:01:00Z', '2025-09-27T11:03:00Z', '2025-09-27T11:05:00Z', '2025-09-27T11:08:00Z']","IP ngoài 198.51.100.45 liên tục thực hiện các nỗ lực truy cập trái phép vào máy chủ 10.0.0.50, bao gồm thăm dò cơ sở dữ liệu MySQL, thử brute force SSH và truy cập RDP, tất cả đều bị từ chối.",Có,Thăm dò bên ngoài và brute force (External Reconnaissance and Brute Force Attack),Cao,Chặn ngay IP 198.51.100.45 và điều tra nguồn gốc,Kẻ tấn công có thể thử các cổng khác hoặc chuyển sang tấn công DDoS để làm gián đoạn dịch vụ
2025-09-27T11:01:00Z,198.51.100.45,10.0.0.50,60000,3306,TCP,DENY,0,103,eth0,db_recon,high,External attempt to access MySQL database.,"['2025-09-27T11:00:00Z', '2025-09-27T11:06:00Z']","Kết nối SSH nội bộ từ 10.0.0.50 đến 10.0.0.51 cho mục đích admin, sau đó là truyền SMB từ 10.0.0.51 đến 10.0.0.50, có dấu hiệu di chuyển ngang trong mạng nội bộ.",Có,Di chuyển ngang nội bộ (Lateral Movement),Trung bình,Theo dõi chặt chẽ các kết nối nội bộ và kiểm tra quyền truy cập,Có thể có thêm di chuyển đến các máy khác trong mạng hoặc leo thang quyền hạn
2025-09-27T11:02:00Z,10.0.0.50,8.8.8.8,54321,53,UDP,ALLOW,64,210,eth1,normal,low,Standard DNS query.,['2025-09-27T11:09:00Z'],"Máy 10.0.0.50 thực hiện truyền dữ liệu lớn (1MB) ra ngoài qua HTTPS đến 192.0.2.30, có dấu hiệu trích xuất dữ liệu bất thường.",Có,Trích xuất dữ liệu trái phép (Data Exfiltration),Cao,Ngừng ngay kết nối outbound từ 10.0.0.50 và kiểm tra nội dung dữ liệu bị gửi,Hệ thống có thể tiếp tục gửi dữ liệu lớn hơn hoặc kẻ tấn công sẽ xóa dấu vết để che giấu hoạt động
2025-09-27T11:03:00Z,198.51.100.45,10.0.0.50,60001,3306,TCP,DENY,0,103,eth0,db_recon,high,Repeated denied MySQL access attempt.,,,,,,,
2025-09-27T11:04:00Z,10.0.0.50,198.51.100.150,443,52345,TCP,ALLOW,1024,201,eth1,normal,low,Outbound HTTPS traffic.,,,,,,,
2025-09-27T11:05:00Z,198.51.100.45,10.0.0.50,60002,22,TCP,DENY,0,101,eth0,brute_force,medium,Suspicious SSH attempt from external IP.,,,,,,,
2025-09-27T11:06:00Z,10.0.0.51,10.0.0.50,2223,445,TCP,ALLOW,512,301,br0,lateral_movement,medium,Internal SMB transfer.,,,,,,,
2025-09-27T11:07:00Z,10.0.0.50,198.51.100.151,80,52346,TCP,ALLOW,2048,201,eth1,normal,low,HTTP request to external site.,,,,,,,
2025-09-27T11:08:00Z,198.51.100.45,10.0.0.50,60003,3389,TCP,DENY,0,102,eth0,external_recon,medium,Denied RDP attempt.,,,,,,,
2025-09-27T11:09:00Z,10.0.0.50,192.0.2.30,443,52347,TCP,ALLOW,1048576,201,eth1,data_exfiltration,high,Large outbound data transfer over HTTPS.,,,,,,,
