timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,label,entry,summary,suspicious,risk_type,severity,action.1,next_prediction
2025-09-26T14:20:10Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,suspicious,"['2025-09-26T14:20:10Z', '2025-09-26T14:20:12Z', '2025-09-26T14:20:15Z']",IP 198.51.100.23 liên tục cố gắng kết nối SSH (cổng 22) đến máy chủ nội bộ 10.0.0.5 và bị từ chối,Có,Quét cổng/Thử nghiệm kết nối SSH,Trung bình,Theo dõi tiếp,Kẻ tấn công có thể thử các phương pháp khác hoặc nhắm mục tiêu vào máy chủ khác
2025-09-26T14:20:12Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,suspicious,['2025-09-26T15:00:00Z'],Máy chủ nội bộ 10.0.0.5 gửi lượng dữ liệu lớn bất thường (100MB) đến IP bên ngoài 198.51.100.100 qua HTTPS,Có,Rò rỉ dữ liệu (Data Exfiltration),Cao,Điều tra ngay lập tức,Có thể tiếp tục truyền dữ liệu nhạy cảm ra bên ngoài
2025-09-26T14:20:15Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,suspicious,"['2025-09-26T15:02:10Z', '2025-09-26T21:20:00Z', '2025-09-26T22:35:00Z']","Nhiều IP bên ngoài (203.0.113.45, 203.0.113.130, 198.51.100.254) cố gắng kết nối RDP (cổng 3389) đến các máy chủ nội bộ",Có,Tấn công brute force RDP,Cao,Chặn các IP này và tăng cường bảo mật RDP,Tiếp tục tấn công vào các cổng quản trị từ xa khác
2025-09-26T15:00:00Z,10.0.0.5,198.51.100.100,443,52345,TCP,ALLOW,104857600,201,eth1,suspicious,"['2025-09-26T16:10:00Z', '2025-09-26T16:11:00Z', '2025-09-26T16:11:10Z']",Nhiều kết nối HTTP liên tiếp từ các IP 192.0.2.10-12 đến máy chủ 10.0.0.20,Có,Quét web/DDoS tiềm năng,Trung bình,Theo dõi tiếp,Có thể là cuộc tấn công từ chối dịch vụ hoặc quét lỗ hổng web
2025-09-26T15:00:05Z,10.0.0.5,198.51.100.101,443,52346,TCP,ALLOW,2048000,201,eth1,normal,['2025-09-26T17:00:00Z'],IP 203.0.113.55 cố gắng kết nối SSH đến máy chủ 10.0.0.30 và bị từ chối,Có,Thử nghiệm kết nối SSH,Trung bình,Theo dõi tiếp,Có thể thử các cổng hoặc phương thức tấn công khác
2025-09-26T15:01:00Z,10.0.0.8,10.0.0.9,445,49152,TCP,ALLOW,5120,301,br0,normal,"['2025-09-26T18:00:00Z', '2025-09-26T18:00:01Z', '2025-09-26T18:00:02Z']",Máy nội bộ 10.0.0.50 thực hiện nhiều kết nối SSH liên tiếp đến 10.0.0.51,Có,Hoạt động SSH bất thường trong mạng nội bộ,Trung bình,Điều tra,Có thể là quét nội bộ hoặc di chuyển ngang
2025-09-26T15:02:10Z,203.0.113.45,10.0.0.10,5678,3389,TCP,DENY,0,102,eth0,suspicious,['2025-09-26T19:00:00Z'],IP 198.51.100.45 cố gắng kết nối MySQL (cổng 3306) đến máy chủ 10.0.0.60,Có,Thử nghiệm kết nối cơ sở dữ liệu,Cao,Chặn IP và kiểm tra bảo mật cơ sở dữ liệu,Có thể thử tấn công SQL injection hoặc brute force
2025-09-26T16:10:00Z,192.0.2.10,10.0.0.20,12345,80,TCP,ALLOW,3456,150,eth2,normal,"['2025-09-26T19:10:00Z', '2025-09-26T19:15:00Z']",Các máy nội bộ cố gắng kết nối ra ngoài đến cổng SSH và FTP bị từ chối,Có,Máy nội bộ bị xâm nhập cố gắng kết nối ra ngoài,Cao,Điều tra các máy nội bộ này,Tiếp tục thử kết nối đến các máy chủ C&C
2025-09-26T16:11:00Z,192.0.2.11,10.0.0.20,12346,80,TCP,ALLOW,4096,150,eth2,normal,['2025-09-26T20:05:00Z'],IP 198.51.100.200 cố gắng kết nối SSH đến máy chủ 10.0.0.95,Có,Tấn công SSH,Cao,Chặn IP và kiểm tra nhật ký đăng nhập,Có thể thử các phương thức xác thực khác
2025-09-26T16:11:10Z,192.0.2.12,10.0.0.20,12347,80,TCP,ALLOW,5120,150,eth2,normal,['2025-09-26T21:10:00Z'],Máy nội bộ 10.0.0.102 gửi lượng dữ liệu lớn (1MB) đến cổng 8080 của IP bên ngoài,Có,Rò rỉ dữ liệu tiềm năng,Cao,Điều tra ngay lập tức,Có thể tiếp tục truyền dữ liệu nhạy cảm
2025-09-26T16:15:00Z,10.0.1.5,203.0.113.200,5678,8080,TCP,ALLOW,10240,210,eth1,normal,"['2025-09-26T21:30:00Z', '2025-09-26T22:30:00Z']",Các máy nội bộ cố gắng kết nối SSH ra ngoài bị từ chối,Có,Máy nội bộ bị xâm nhập,Cao,Điều tra các máy này,Tiếp tục thử kết nối đến máy chủ điều khiển
2025-09-26T17:00:00Z,203.0.113.55,10.0.0.30,33333,22,TCP,DENY,0,101,eth0,suspicious,"['2025-09-26T22:05:00Z', '2025-09-26T22:15:00Z']",Các IP bên ngoài cố gắng kết nối đến cổng email (143) và telnet (23),Có,Quét dịch vụ/Thử nghiệm kết nối,Trung bình,Theo dõi tiếp,Có thể nhắm mục tiêu vào các dịch vụ khác
2025-09-26T17:05:00Z,10.0.0.30,198.51.100.200,40000,80,TCP,ALLOW,8192,201,eth1,normal,,,,,,,
2025-09-26T17:05:10Z,10.0.0.30,198.51.100.200,40001,443,TCP,ALLOW,16384,201,eth1,normal,,,,,,,
2025-09-26T18:00:00Z,10.0.0.50,10.0.0.51,2222,22,TCP,ALLOW,128,301,br0,normal,,,,,,,
2025-09-26T18:00:01Z,10.0.0.50,10.0.0.51,2223,22,TCP,ALLOW,128,301,br0,normal,,,,,,,
