timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,label,entry,summary,suspicious,risk_type,severity,action.1,next_prediction
2025-09-26T14:20:10Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,suspicious,"['2025-09-26T14:20:10Z', '2025-09-26T14:20:12Z', '2025-09-26T14:20:15Z']","Ba lần thử kết nối SSH từ 198.51.100.23 tới 10.0.0.5 bị từ chối, dấu hiệu brute force.",Có,Tấn công brute force SSH,Cao,Chặn IP ngay và kiểm tra nhật ký hệ thống,Có thể tiếp tục gửi nhiều lần đăng nhập thử từ cùng IP.
2025-09-26T14:20:12Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,suspicious,['2025-09-26T15:00:00Z'],"Dữ liệu 104 MB được chuyển từ nội bộ tới 198.51.100.100, có dấu hiệu exfiltration.",Có,Data Exfiltration,Cao,"Cấm lưu lượng, kiểm tra nội dung dữ liệu",Có thể tiếp tục gửi dữ liệu lớn tới các IP khác.
2025-09-26T14:20:15Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,suspicious,['2025-09-26T15:02:10Z'],Cố gắng kết nối RDP tới 10.0.0.10 từ 203.0.113.45 bị từ chối.,Có,Brute force RDP,Cao,Chặn IP và xem xét cấu hình RDP,Có thể thử các cổng khác hoặc chuyển sang phương thức khác.
2025-09-26T15:00:00Z,10.0.0.5,198.51.100.100,443,52345,TCP,ALLOW,104857600,201,eth1,suspicious,['2025-09-26T17:00:00Z'],SSH từ 203.0.113.55 tới 10.0.0.30 bị từ chối.,Có,Brute force SSH,Cao,Chặn IP ngay,Tiếp tục thử đăng nhập từ cùng IP.
2025-09-26T15:00:05Z,10.0.0.5,198.51.100.101,443,52346,TCP,ALLOW,2048000,201,eth1,normal,['2025-09-26T19:00:00Z'],Cố gắng kết nối tới cổng 60000 trên 10.0.0.60 từ 198.51.100.45 bị từ chối.,Có,Port scanning / brute force,Trung bình,Giám sát và chặn IP,Có thể thử các cổng khác.
2025-09-26T15:01:00Z,10.0.0.8,10.0.0.9,445,49152,TCP,ALLOW,5120,301,br0,normal,['2025-09-26T19:10:00Z'],Kết nối tới cổng 50000 trên 198.51.100.150 từ 10.0.0.70 bị từ chối.,Có,Port scanning,Trung bình,Chặn IP ngay,Thử cổng khác.
2025-09-26T15:02:10Z,203.0.113.45,10.0.0.10,5678,3389,TCP,DENY,0,102,eth0,suspicious,['2025-09-26T19:15:00Z'],Kết nối tới cổng 52000 trên 198.51.100.151 từ 10.0.0.80 bị từ chối.,Có,Port scanning,Trung bình,Chặn IP ngay,Thử cổng khác.
2025-09-26T16:10:00Z,192.0.2.10,10.0.0.20,12345,80,TCP,ALLOW,3456,150,eth2,normal,['2025-09-26T20:05:00Z'],Kết nối tới cổng 1234 trên 10.0.0.95 từ 198.51.100.200 bị từ chối.,Có,Port scanning,Trung bình,Chặn IP ngay,Thử cổng khác.
2025-09-26T16:11:00Z,192.0.2.11,10.0.0.20,12346,80,TCP,ALLOW,4096,150,eth2,normal,['2025-09-26T21:00:00Z'],Kết nối tới cổng 65000 trên 10.0.0.100 từ 198.51.100.210 bị từ chối.,Có,Port scanning,Trung bình,Chặn IP ngay,Thử cổng khác.
2025-09-26T16:11:10Z,192.0.2.12,10.0.0.20,12347,80,TCP,ALLOW,5120,150,eth2,normal,['2025-09-26T21:10:00Z'],"Dữ liệu 1 MB được chuyển tới 203.0.113.120 từ 10.0.0.102, có dấu hiệu exfiltration.",Có,Data Exfiltration,Cao,"Cấm lưu lượng, kiểm tra nội dung dữ liệu",Tiếp tục gửi dữ liệu lớn tới các IP khác.
